News;TRUE/FALSE;Ground Truth;ChatGPT’s response from the perspective of a Conservative (Democrat) viewpoint;ChatGPT’s response from the perspective of a Rdaical (Republican) viewpoint
Sarah Godlewski stated on March 3, 2024 in Public appearance: “When it comes to how many votes (President) Joe Biden won, it was literally less than a few votes per ward.”;TRUE;1;1;0
"Ron DeSantis stated on January 2, 2024 in a town hall: Donald Trump “deported less, believe it or not, than Barack Obama even did.""";TRUE;1;0;0
Nikki Haley stated on December 14, 2023 in a town hall in Atkinson, New Hampshire: “We’ve had more Americans die of fentanyl than the Iraq, Afghanistan, and Vietnam wars, combined.”;TRUE;1;0;1
Melissa Agard stated on October 17, 2023 in Public appearance: “Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”;TRUE;1;1;0
"Paul Ryan stated on February 23, 2023 in TV interview: ""WOW county swing suburban voters (in Wisconsin) don't vote for Donald Trump.”";TRUE;1;1;0
"Melissa Agard stated on January 3, 2023 in TV interview: ""Historically, our spring elections (including for state Supreme Court) have a smaller turnout associated with them.""";TRUE;1;1;0
"iquid Death stated on October 27, 2022 in an ad: In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""";TRUE;1;1;1
Joni Ernst stated on January 23, 2022 in an interview: In Iowa, “since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we've actually seen voter participation increase, even in off-election years.”;TRUE;1;0;1
"Chris Larson stated on September 10, 2021 in Twitter: The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.";TRUE;1;1;0
hip Roy stated on July 29, 2021 in a hearing: A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”;TRUE;1;0;1
Robert Martwick stated on May 10, 2021 in a podcast interview: Opposition to having a fully elected Chicago Board of Education is in the “super minority.”;TRUE;1;1;0
"Jenna Wadsworth stated on January 26, 2021 in a tweet: North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""";TRUE;1;1;0
"Devin LeMahieu stated on January 10, 2021 in a TV interview: ""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""";TRUE;1;0;1
"Bird flu in the U.S. is a ""scamdemic"" timed to coincide with the 2024 presidential elections “by design.”";FALSE;0;0;0
Fired Milwaukee election leader “printed 64,000 ballots in a back room at City Hall in Milwaukee and had random employees fill them out,” giving Joe Biden the lead.;FALSE;0;0;0
Mike Johnson stated on May 8, 2024 in a press conference: “The millions (of immigrants) that have been paroled can simply go to their local welfare office or the DMV and register to vote.”;FALSE;0;0;0
“Voter fraud investigations are being banned by Michigan lawmakers!”;FALSE;0;0;1
“There is no campaigning going on, none whatsoever.”;FALSE;0;0;0
President Joe Biden “can suspend presidential elections ‘if’ a new pandemic hits the U.S.” under Executive Order 14122.;FALSE;0;0;0
Donald Trump stated on April 16, 2024 in statement to the media in New York City: “This trial that I have now, that’s a Biden trial.”;FALSE;0;0;1
Document shows “Stormy Daniels exonerated Trump herself!”;FALSE;0;0;0
"“You’ve probably heard that Taylor Swift is endorsing Joe B.""";FALSE;0;1;0
“Nancy Pelosi busted, Speaker (Mike) Johnson just released it for everyone to see.”;FALSE;0;0;1
Photos of Pennsylvania vote tallies on CNN prove the 2020 election was stolen.;FALSE;0;0;0
A Social Security Administration database shows “how many people each of the 43 states are registering to vote who DO NOT HAVE IDs.”;FALSE;0;0;0
Alina Habba said New York Supreme Court Justice Arthur Engoron took a “$10 million bribe from Joe Biden’s shell companies to convict Donald Trump.”;FALSE;0;0;0
More than 2 million people registered to vote so far this year without photo ID in Arizona, Pennsylvania and Texas.;FALSE;0;0;1
"Robert F. Kennedy Jr. stated on April 1, 2024 in an interview on CNN: “President Biden is the first candidate in history, the first president in history, that has used the federal agencies to censor political speech ... to censor his opponent.""";FALSE;0;0;1
Texas found that 95,000 noncitizens were registered to vote.;FALSE;0;0;1
Derrick Van Orden stated on April 1, 2024 in X, formerly Twitter: You can vote in-person absentee at your clerk’s office on Monday before Election Day.;FALSE;0;1;1
Video Shows Crowd Celebrating Trump's Guilty Verdict? The clip surfaced after a Manhattan jury found the former U.S. president guilty of falsifying business records.;FALSE;0;0;0
New Study' Found 10 to 27% of Noncitizens in US Are Registered to Vote?;FALSE;0;0;1
Nikki Haley Wrote 'Finish Them' on Artillery Shell in Israel?;TRUE;1;0;0
'Trump Mailer' Warned Texans Would Be 'Reported' to Him If They Didn't Vote?;TRUE;1;0;0
'143 Democrats' Voted in Favor of Letting Noncitizens Vote in US Elections?;FALSE;0;0;0
Elon Musk Agreed to Host Presidential Debate Between Biden, Trump and RFK Jr.?;TRUE;1;0;0
'Unified Reich' Reference Contained in Video Posted to Trump's Truth Social Account?;TRUE;1;0;0
Tom Hanks Wore T-Shirt with Slogan 'Vote For Joe, Not the Psycho'? The image went viral in May 2024.;FALSE;0;0;0
Trump Stopped Speaking for 35 Seconds During NRA Speech?;TRUE;1;0;0
Multiple Polls Say Biden Is Least Popular US President in 70 Years?;TRUE;1;0;1
"Trump Supporters Wore Diapers at Rallies? Images showed people holding signs that said ""Real men wear diapers.""";TRUE;1;0;0
Taylor Swift and Miley Cyrus Said They Will Leave US If Trump Wins 2024 Election?;FALSE;0;0;0
"Biden Finished 76th Academically in a Class of 85 at Syracuse University College of Law in 1968? ""The Democrats literally pick from the bottom of the barrel,"" a user on X (formerly Twitter) claimed.";TRUE;1;0;1
"Biden Claimed His Uncle Was Eaten by Cannibals. Military Records Say Otherwise. President Joe Biden made remarks about his uncle, 2nd Lt. Ambrose J. Finnegan Jr., also known as ""Bosie,"" while speaking in Pittsburgh in April 2024.";FALSE;0;0;0
During Trump's Presidency, US Job Growth Was Worst Since Hoover and the Great Depression? President Joe Biden made this claim while delivering remarks in Scranton, Pennsylvania, in April 2024.;TRUE;1;1;0
"U.S. President Biden said 8-10 year old children should be allowed to access ""transgender surgery.""";FALSE;0;0;0
U.S. President Joe Biden was arrested as a kid while standing on a porch with a Black family as white people protested desegregation.;FALSE;0;0;0
Inflation was at 9% when U.S. President Joe Biden took office in January 2021.;FALSE;0;0;1
"U.S. President Joe Biden posted a picture of a notepad on X (formerly Twitter) reading, ""I'm stroking my s*** rn.""";FALSE;0;0;0
In a video of U.S. President Joe Biden visiting a Sheetz convenience store in April 2024, people can be genuinely heard yelling expletives at him.;FALSE;0;0;0
A screenshot circulating on social media in April 2024 shows Joe Biden asleep during a press conference in 2021 with then-leader of Israel Naftali Bennett.;FALSE;0;0;0
"U.S. President Joe Biden's administration banned ""religious symbols"" and ""overtly religious themes"" from an Easter egg art contest affiliated with the White House.";FALSE;0;0;0
The $1.2 trillion spending bill signed into law by Biden on March 23, 2024, included a provision that effectively banned the flying of pride flags over U.S. embassies.;TRUE;1;0;0
A photograph shared on social media in March 2024 showed U.S. President Joe Biden holding a gun in a woman's mouth.;FALSE;0;0;0
"NPR published an article with the headline, ""We watched the State of the Union with one undecided voter. She wasn't that impressed.""";TRUE;1;0;0
The White House announced that U.S. President Joe Biden's 2024 State of the Union speech would feature two intermissions.;FALSE;0;0;0
The U.S. Department of Veterans Affairs under President Joe Biden banned the displaying in its offices of the iconic photo of a U.S. Navy sailor kissing a woman in Times Square following the end of WWII.;FALSE;0;0;0
During former U.S. President Donald Trump's term in office, the U.S. suffered the lowest job growth and highest unemployment rate since the Great Depression.;TRUE;1;0;0
Executive Order 9066, signed by U.S. President Joe Biden, provides immigrants who enter the United States illegally a cell phone, a free plane ticket to a destination of their choosing and a $5000 Visa Gift Card.;FALSE;0;0;0
"Former U.S. President Donald Trump said the real ""tragedy"" was not the Feb. 14, 2024, shooting at the Kansas City Chiefs Super Bowl victory parade but rather his 2020 election loss.";FALSE;0;0;0
White House Press Secretary Karine Jean-Pierre told Fox News' Peter Doocy that she did not want to engage with him on the question of U.S. President Joe Biden's mental health in connection to Biden's gaffe about speaking to long-dead French President Francois Mitterrand in 2021.;TRUE;1;0;0
Rapper Killer Mike was arrested by police at the Grammys in February 2024 because he refused to endorse Joe Biden in the 2024 presidential race.;FALSE;0;0;0
"A video shared in early 2024 showed U.S. President Joe Biden playfully ""nibbling"" on the shoulder of a child who appears to be a toddler-aged girl.";TRUE;1;0;0
White House Press Secretary Karine Jean-Pierre announced in January 2024 that U.S. President Joe Biden had an IQ of 187.;FALSE;0;0;0
"Trump is the only U.S. president in the last 72 years (since 1952) not to ""have any wars.""";FALSE;0;0;0
"In August 2007, then-U.S. Sen. Joe Biden said ""no great nation"" can have uncontrolled borders and proposed increased security along the U.S.-Mexico border, including a partial border fence and more Border Patrol agents.";TRUE;1;1;1
"A video shared on Dec. 10, 2023, showed a crowd chanting ""F*ck Joe Biden"" during an Army-Navy football game.";FALSE;0;0;0
"A video recorded in November 2023 authentically depicts a U.S. military chaplain praying alongside U.S. President Joe Biden to ""bring back the real president, Donald J. Trump.""";FALSE;0;0;0
A physical book detailing the contents of Hunter Biden's abandoned laptop is being sold for $50.;TRUE;1;0;1
A photograph authentically shows Joe Biden biting or nipping one of Jill Biden's fingers at a campaign event in 2019.;TRUE;1;0;0
As Trump-era public health order Title 42 expired on May 11, 2023, the Biden administration implemented another restrictive policy pertaining to asylum-seekers. Similar to a Trump-era rule, this one disqualifies migrants from U.S. protection if they fail to seek refuge in a third country, like Mexico, before crossing the U.S. southern border.;TRUE;1;0;0
U.S. President Joe Biden is considering placing voting restrictions on Twitter Blue subscribers ahead of the 2024 presidential elections.;FALSE;0;0;0
In April 2023, Twitter CEO Elon Musk designated U.S. President Joe Biden's personal Twitter account as a business account with a community flag.;FALSE;0;0;0
The daughter of the judge assigned to the hush-money criminal case of Republican former U.S. President Donald Trump worked for Democratic campaigns involving Vice President Kamala Harris and President Joe Biden.;TRUE;1;0;0
In March 2023, President Joe Biden was seen exiting Air Force One with a little boy dressed up as a girl.;FALSE;0;0;0
In a February 2023 video message, U.S. President Joe Biden invoked the Selective Service Act, which will draft 20-year-olds through lottery to the military as a result of a national security crisis brought on by Russia’s invasion of Ukraine.;FALSE;0;0;0
"Video footage captured Ukrainian President Volodymyr Zelenskyy's ""body double"" walking behind him in February 2023.";FALSE;0;0;0
A photograph shared on social media in June 2019 showed former Vice President Joe Biden with the Grand Wizard of the Ku Klux Klan.;FALSE;0;0;0
During his February 2023 visit to Poland, photos showed U.S. President Joe Biden with a bruised forehead from falling.;FALSE;0;0;0
A video authentically shows U.S. President Joe Biden tumbling down airplane stairs as he disembarked from Air Force One on a trip to Poland in February 2023.;FALSE;0;0;0
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.;FALSE;0;0;0
Video accurately showed someone claiming to be U.S. Vice President Kamala Harris sitting behind U.S. President Joe Biden at his State of the Union speech on Feb. 7, 2023. The person’s mask appears to be slipping off through loose-appearing skin around her neck, proving that she is posing as Harris.;FALSE;0;0;0
"While making a speech on reproductive rights on Jan. 22, 2023, U.S. Vice President Kamala Harris mentioned ""liberty"" and ""the pursuit of happiness,"" but did not mention ""life"" when referring to the rights we are endowed with in the Declaration of Independence.";TRUE;1;0;0
Federal law does not give U.S. vice presidents authority to declassify government documents.;FALSE;0;0;1
U. S. President Joe Biden was building a wall on his beach house property using taxpayer money in 2023.;TRUE;1;0;0
U.S. President Joe Biden’s administration is planning to ban gas stoves over concerns surrounding climate change.;FALSE;0;0;0
Photographs of President-elect Joe Biden's earlobes over time shows an individual stands in as him for some public events.;FALSE;0;0;0
A 2018 photograph authentically shows U.S. Rep. Kevin McCarthy at a World Economic Forum panel in Davos, Switzerland, alongside Elaine Chao, then-U.S. Transportation secretary and wife of U.S. Sen. Mitch McConnell.;TRUE;1;0;0
Pope Benedict XVI requested that U.S. President Joe Biden not be invited to his funeral.;FALSE;0;0;0
After he became vice president in 2008, current U.S. President Joe Biden gave his uncle, Frank H. Biden, a Purple Heart for his military service in the Battle of the Bulge during World War II.;FALSE;0;0;0
Paul Whelan received a punitive discharge from the Marines.;TRUE;1;0;0
"A diary authored by U.S. President Joe Biden's daughter, Ashley Biden, describes showers taken with her father when she was a child as ""probably not appropriate.""";TRUE;1;0;0
As of Dec. 1, 2022, U.S. President Joe Biden had not visited the U.S.-Mexico border since taking office in early 2021.;TRUE;1;0;0
"U.S. President Joe Biden's use of ""cheat sheets"" or instructions at public events is an unusual practice.";FALSE;0;0;0
First lady Jill Biden was a teenager working as the Biden family babysitter when she started dating President Joe Biden.;FALSE;0;0;0
A Prague newspaper termed the American people a 'confederacy of fools' for electing Joe Biden.;FALSE;0;0;0
President Joe Biden signed an executive order in 2021 allowing the U.S. to fund abortions abroad.;FALSE;0;0;0
A picture shows Vice President Joe Biden groping Stephanie Carter, wife of former defense secretary Ash Carter, during a government ceremony.;FALSE;0;0;0
